Expenditure Date,Payee Name,Address,Payee Type,Amount($),Committee Name,Expense Category,Expense Purpose,Expense Toward,Expense Method,Vendor,Fundtype,Comments
4/9/2021,SKDK,1150 18th St NW  Washington  District Of Columbia 20036,Business/Group/Organization,12500,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Photography Services
4/9/2021,Council for Advocacy and Policy Solution,1101 Wootton Pkwy  Rockville  Maryland 20852,Business/Group/Organization,400,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,List Aquisition
4/9/2021,Doyle Printing & Offset Co,5206 46th Ave  Hyattsville  Maryland 20781,Business/Group/Organization,1251,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
4/13/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,0,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
4/15/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,1830,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Taxes
4/15/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,3139,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Staff Payroll
4/26/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,20,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,EFT,,Electoral,
4/26/2021,GoDaddy.com,14455 N Hayden Rd  Scottsdale  Arizona 85260,Business/Group/Organization,17,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Website Hosting
4/29/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,337,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
4/29/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,2016,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Staff Salary
4/30/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,2,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
4/30/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,812,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Taxes
5/3/2021,Maryland Democratic Party,275 West Street  #700  Annapolis  Maryland 21401,Business/Group/Organization,5000,Blair  David for Montgomery,Rent and Other Office expenses,IT - Campaign Software,,Check,,Electoral,NGP software access - 10/11/22 expense purpose amended (approved by LH)
5/3/2021,Google Gsuite,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,59,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscriptions
5/4/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,9,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
5/5/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,1,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
5/6/2021,Blue Cross Blue Shield,225 N Michigan Ave  Chicago  Illinois 60601,Business/Group/Organization,378,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Insurance
5/7/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,536,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
5/7/2021,David Blair,9907 River View Ct  Potomac  Maryland 20854,Individual,113,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Credit Card/MasterCard,,Electoral,
5/10/2021,Caroline Closson,5401 Mcgrath Blvd  Apt 516  Rockville  Maryland 20852,Individual,62,Blair  David for Montgomery,Salaries and Other compensation,Staff - Parking,,Check,,Electoral,Travel
